"";"APR1";"APR10";"APR11";"APR12";"APR13";"APR14";"APR15";"APR16";"APR17";"APR18";"APR19";"APR2";"APR20";"APR3";"APR4";"APR5";"APR6";"APR7";"APR8";"APR9";"AUG1";"AUG10";"AUG11";"AUG12";"AUG13";"AUG14";"AUG15";"AUG16";"AUG17";"AUG18";"AUG19";"AUG2";"AUG20";"AUG3";"AUG5";"AUG6";"AUG7";"AUG8";"AUG9";"DEC1";"DEC10";"DEC11";"DEC12";"DEC13";"DEC14";"DEC15";"DEC16";"DEC17";"DEC18";"DEC19";"DEC2";"DEC20";"DEC3";"DEC4";"DEC5";"DEC6";"DEC7";"DEC8";"DEC9";"FEB1";"FEB10";"FEB11";"FEB12";"FEB13";"FEB14";"FEB15";"FEB16";"FEB17";"FEB18";"FEB19";"FEB2";"FEB20";"FEB3";"FEB4";"FEB5";"FEB6";"FEB7";"FEB8";"FEB9";"JAN1";"JAN10";"JAN11";"JAN12";"JAN13";"JAN14";"JAN15";"JAN16";"JAN17";"JAN18";"JAN19";"JAN2";"JAN20";"JAN3";"JAN4";"JAN5";"JAN6";"JAN7";"JAN8";"JAN9";"JUL1";"JUL10";"JUL11";"JUL12";"JUL13";"JUL14";"JUL15";"JUL16";"JUL17";"JUL18";"JUL19";"JUL2";"JUL20";"JUL3";"JUL4";"JUL5";"JUL6";"JUL7";"JUL8";"JUL9";"JUN1";"JUN10";"JUN11";"JUN12";"JUN13";"JUN14";"JUN15";"JUN16";"JUN17";"JUN18";"JUN19";"JUN2";"JUN20";"JUN3";"JUN4";"JUN5";"JUN6";"JUN7";"JUN8";"JUN9";"MAR1";"MAR10";"MAR11";"MAR12";"MAR13";"MAR14";"MAR15";"MAR16";"MAR17";"MAR18";"MAR19";"MAR2";"MAR20";"MAR3";"MAR4";"MAR5";"MAR6";"MAR7";"MAR8";"MAR9";"MAY1";"MAY10";"MAY11";"MAY12";"MAY13";"MAY14";"MAY15";"MAY16";"MAY17";"MAY18";"MAY19";"MAY2";"MAY20";"MAY3";"MAY4";"MAY5";"MAY6";"MAY7";"MAY8";"MAY9";"NOV1";"NOV10";"NOV11";"NOV12";"NOV13";"NOV14";"NOV15";"NOV16";"NOV17";"NOV18";"NOV19";"NOV2";"NOV20";"NOV3";"NOV4";"NOV5";"NOV6";"NOV7";"NOV8";"NOV9";"OCT1";"OCT10";"OCT11";"OCT12";"OCT13";"OCT14";"OCT15";"OCT16";"OCT17";"OCT18";"OCT19";"OCT2";"OCT20";"OCT3";"OCT4";"OCT5";"OCT6";"OCT7";"OCT8";"OCT9";"SEP1";"SEP10";"SEP11";"SEP12";"SEP13";"SEP14";"SEP15";"SEP16";"SEP17";"SEP18";"SEP19";"SEP2";"SEP20";"SEP3";"SEP4";"SEP5";"SEP6";"SEP7";"SEP8";"SEP9";"total";"kingdom";"phylum";"class";"order";"family";"genus"
"Galium";0;0;0;0;0;0;0;0;0;0;0;0;65;0;0;58;0;1800;0;0;0;761;13564;0;445;557;0;0;0;0;0;436;0;631;3931;0;7956;0;864;0;0;0;543;0;383;0;0;0;944;0;0;1695;1063;4206;156;0;0;367;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4965;0;0;221;0;0;0;0;0;0;0;0;98;0;0;0;7303;0;1142;4793;2123;8287;21575;0;0;774;0;20717;98;28599;2472;657;0;0;288;0;0;0;9456;4922;4530;4441;4354;0;0;0;0;382;0;450;3329;225;0;0;0;0;0;0;0;0;758;0;0;1584;0;0;109;0;118;0;0;0;0;0;0;4601;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;396;517;1698;1158;0;0;0;806;0;0;0;0;2265;0;0;1185;0;0;0;354;1331;486;3752;0;0;828;0;553;0;0;0;3057;3466;2324;8962;11141;0;0;0;0;7107;524;7457;4285;2041;452;0;0;0;249941;"Viridiplantae";"Streptophyta";"Magnoliopsida";"Gentianales";"Rubiaceae";"Galium"
"Malus";0;903;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;148;1551;558;0;5165;0;34236;0;0;0;0;2931;2345;0;0;0;0;0;0;0;0;0;0;3947;0;0;0;0;0;0;0;0;0;262;8914;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9655;0;983;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6468;0;0;121;153;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;77;0;0;0;0;0;0;0;0;0;0;0;0;4385;0;1829;0;0;1764;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;337;0;0;0;0;0;0;3893;0;0;11609;0;1047;0;2200;1107;1751;10495;0;0;0;0;0;0;5468;4956;14759;475;17359;1640;1092;4367;23549;871;0;783;0;2944;0;14941;10806;2369;0;0;355;0;225568;"Viridiplantae";"Streptophyta";"Magnoliopsida";"Rosales";"Rosaceae";"Malus"
"Veronica";0;624;0;0;0;0;0;0;0;0;9850;0;0;0;1971;279;487;2457;0;0;0;0;7056;0;1042;0;0;0;0;0;0;0;0;0;7395;0;0;0;0;0;146;5010;0;0;3854;0;0;0;2625;0;2664;0;3080;0;1035;667;0;1125;275;0;0;0;0;0;0;0;0;0;98;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1466;0;0;72;0;0;0;0;0;0;0;0;0;617;0;2260;712;0;0;0;0;0;357;0;0;0;0;1881;0;5828;0;0;0;0;0;0;0;0;0;1638;0;811;0;0;4451;0;0;0;0;3112;0;1106;0;0;0;0;0;159;0;0;0;0;0;596;145;341;383;0;222;0;0;0;0;106;366;9461;0;329;0;0;0;0;0;0;0;0;0;0;0;0;668;0;1310;0;0;0;0;0;4267;0;0;267;0;0;0;420;879;1158;6473;0;1160;260;0;0;0;0;15935;363;27384;0;0;46181;10183;0;0;0;0;0;0;0;0;0;0;0;0;0;4250;0;0;0;0;3698;4303;0;0;351;0;3764;0;0;0;0;724;0;0;0;222157;"Viridiplantae";"Streptophyta";"Magnoliopsida";"Lamiales";"Plantaginaceae";"Veronica"
"Asteraceae genus 1";0;0;0;0;0;0;0;1695;2183;0;0;0;0;0;0;0;0;59;0;0;0;0;0;506;0;792;0;0;1308;0;822;0;0;0;0;0;2160;0;10002;2111;2788;1923;0;0;0;0;1150;0;20491;0;171;3240;5290;0;332;780;7907;1607;338;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;293;0;656;381;0;0;0;0;974;435;0;0;0;0;8908;1096;0;0;0;0;0;908;0;0;0;12690;0;3585;2413;5325;0;0;0;0;0;0;0;0;0;0;2056;0;0;0;0;0;0;0;0;0;0;0;0;448;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;986;0;0;0;0;0;0;0;0;1530;0;0;0;0;0;0;0;0;0;0;10030;0;0;0;0;0;0;0;0;0;4877;1595;3841;0;408;0;1142;0;3655;0;1506;9019;3126;10752;9550;0;0;940;5593;9190;7878;11571;0;5800;2813;0;0;0;213625;"Viridiplantae";"Streptophyta";"Magnoliopsida";"Asterales";"Asteraceae";"Asteraceae genus 1"
"Fagaceae genus 1";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;223;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;719;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12583;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14526;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21277;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;141749;0;0;13837;0;0;0;7163;0;0;0;212077;"Viridiplantae";"Streptophyta";"Magnoliopsida";"Fagales";"Fagaceae";"Fagaceae genus 1"
"Stellaria";0;5624;0;0;0;0;0;2460;6373;10190;5586;0;8599;0;7031;179;0;1414;26788;1421;0;0;0;0;526;0;2887;0;0;0;0;0;0;0;0;0;0;0;0;0;269;0;0;0;1316;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;168;0;0;0;0;0;0;0;0;0;0;0;0;0;44;0;0;0;0;0;0;82;0;4672;0;78;0;0;0;0;0;0;0;0;0;0;0;0;0;0;152;0;5099;0;0;280;0;5273;0;1327;0;0;0;114;0;0;0;0;0;0;0;0;0;0;1226;0;766;0;464;0;0;0;0;0;228;0;0;0;0;0;0;196;0;0;0;897;0;0;0;0;0;0;4411;3155;0;1681;0;0;166;0;0;514;0;0;3066;0;0;563;215;0;0;0;937;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12304;1099;0;0;2408;0;0;1325;4482;0;0;0;3269;0;352;0;0;0;0;2435;0;0;2881;0;0;0;0;0;0;44614;3835;9152;0;270;0;0;0;0;0;0;0;0;0;0;0;0;204863;"Viridiplantae";"Streptophyta";"Magnoliopsida";"Caryophyllales";"Caryophyllaceae";"Stellaria"
"Poaceae genus 1 (agrostis/lachnagrostis/muhlenbergia/polypogon/alopecurus/calmagrostis)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;53;0;0;0;895;0;0;744;0;0;0;0;0;282;557;0;139;45445;1356;0;0;6090;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3721;0;0;0;0;0;0;0;474;0;0;0;0;0;0;0;643;0;0;0;0;0;0;0;0;1597;0;79;0;0;0;0;0;0;0;0;0;1268;1456;305;0;0;0;0;0;0;135;0;0;0;0;0;0;0;0;0;4631;0;3590;0;0;0;0;0;0;0;917;0;7399;0;0;0;0;0;0;0;150;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1086;0;0;0;7527;0;95;0;0;0;0;0;0;0;0;0;0;0;24811;0;0;0;0;0;5353;0;0;0;0;0;0;0;0;1191;0;292;0;0;1692;0;0;0;0;0;507;0;18009;538;0;0;0;0;0;0;806;528;804;0;0;0;0;0;0;0;161;5279;249;0;0;0;1759;0;0;2212;289;251;2149;157514;"Viridiplantae";"Streptophyta";"Magnoliopsida";"Poales";"Poaceae";"Poaceae genus 1 (agrostis/lachnagrostis/muhlenbergia/polypogon/alopecurus/calmagrostis)"
"Polygonum";442;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8964;0;63516;0;0;0;0;0;2032;0;34061;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2461;2966;5598;0;3033;472;0;1771;550;3532;0;181;0;0;1564;0;0;827;0;0;0;0;0;0;0;5796;0;0;0;0;0;0;0;0;0;4695;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;180;0;0;0;0;2513;0;1421;0;0;0;0;0;150;0;0;0;0;390;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;789;3461;0;2782;0;0;248;0;324;0;0;0;0;0;0;0;0;814;0;155533;"Viridiplantae";"Streptophyta";"Magnoliopsida";"Caryophyllales";"Polygonaceae";"Polygonum"
"Cardamine";114685;2368;0;0;0;0;0;6376;1688;0;10154;0;0;0;2834;1672;0;329;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;511;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1510;0;0;419;0;0;0;551;0;0;0;902;0;4599;0;0;0;4647;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;153245;"Viridiplantae";"Streptophyta";"Magnoliopsida";"Brassicales";"Brassicaceae";"Cardamine"
"Avenella";0;2391;0;0;0;0;0;417;2200;1632;203;0;1836;0;2522;0;1302;0;0;168;0;0;1887;2875;0;0;0;0;5578;3074;1705;980;0;103;0;0;0;3981;10613;0;597;0;0;0;235;0;2125;893;5792;253;0;511;0;0;0;2699;933;220;189;0;376;0;0;0;0;0;645;2111;188;251;0;550;0;0;0;3208;0;146;3504;0;4704;0;0;0;0;0;64;1191;1062;441;0;1304;0;0;0;0;3140;64;0;0;0;0;0;0;0;0;0;1541;0;0;0;710;0;2798;0;12430;588;503;162;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;750;0;0;0;350;0;0;0;0;0;366;78;1246;87;0;333;0;0;0;0;199;0;165;0;0;351;0;2457;173;0;0;2833;802;2305;174;0;0;0;0;646;0;0;682;0;0;0;0;0;0;0;0;0;212;462;0;1632;0;0;0;0;1852;0;0;0;2352;0;0;0;0;0;362;0;0;752;0;5273;0;0;0;1770;0;7745;0;0;535;0;0;0;0;0;107;331;0;0;0;0;0;0;0;231;10332;170;0;147710;"Viridiplantae";"Streptophyta";"Magnoliopsida";"Poales";"Poaceae";"Avenella"
"Agrimonia";32478;0;0;0;0;0;0;0;636;1295;0;16548;195;31363;0;10333;0;0;0;0;0;0;0;0;0;841;0;0;0;0;0;461;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;854;2211;1516;245;0;0;0;0;333;0;0;0;402;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3451;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1411;0;0;0;0;0;0;0;821;0;0;0;0;0;0;3300;0;105;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26077;0;11470;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;146346;"Viridiplantae";"Streptophyta";"Magnoliopsida";"Rosales";"Rosaceae";"Agrimonia"
"Crepis";0;0;0;0;0;0;0;0;0;1822;0;0;0;0;0;0;0;622;2173;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;819;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;437;0;0;0;0;0;0;0;0;0;0;974;0;0;0;525;0;262;0;0;0;0;0;374;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2085;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;347;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1062;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;126184;0;0;172;0;0;0;0;0;967;0;0;0;0;138825;"Viridiplantae";"Streptophyta";"Magnoliopsida";"Asterales";"Asteraceae";"Crepis"
"Holcus";0;1340;0;0;0;0;0;4388;2945;1706;1885;0;4031;0;1536;59;1572;305;0;1650;0;3870;0;0;272;0;0;0;610;8641;0;234;0;928;0;0;730;0;3510;0;232;0;0;0;0;0;677;0;0;0;0;0;0;0;0;373;2333;1434;0;0;0;0;0;0;0;0;879;1229;484;0;8264;857;0;0;0;899;0;432;0;0;582;0;0;0;0;0;248;0;0;117;0;0;0;0;0;0;435;0;198;0;261;0;0;0;0;0;0;0;145;7029;0;224;0;0;0;1015;402;506;0;270;238;0;0;0;0;0;0;2282;5632;0;0;0;1004;0;0;2587;4690;2169;0;0;362;0;0;0;0;0;1909;983;251;364;0;719;0;0;0;617;175;819;1810;0;0;481;535;0;230;745;0;0;1080;1078;86;0;159;0;0;561;0;0;0;0;8370;0;0;0;0;0;10397;0;0;0;0;519;0;0;0;2797;0;498;270;0;553;0;0;0;0;0;0;122;0;420;0;0;0;0;0;1297;0;5691;135;0;3682;0;0;0;0;0;0;0;0;0;0;148;0;0;0;65;1696;0;0;137963;"Viridiplantae";"Streptophyta";"Magnoliopsida";"Poales";"Poaceae";"Holcus"
"Scorzoneroides";0;0;0;0;0;0;0;0;0;469;0;0;536;0;691;0;1405;330;0;0;0;0;0;0;0;0;0;0;9746;2369;0;0;0;237;0;4535;1115;5770;410;0;0;0;0;0;602;0;0;1067;3861;0;0;0;0;0;0;0;0;485;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;395;0;0;0;0;342;0;0;0;0;590;835;333;0;0;0;0;0;500;349;0;0;3468;0;0;0;660;0;0;0;0;0;0;0;0;0;0;0;2706;0;0;622;0;0;0;0;0;359;241;0;358;0;0;0;0;0;784;140;1870;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7159;0;0;0;0;0;0;0;0;0;0;0;0;3699;0;0;0;0;0;254;6941;708;0;4191;0;0;5338;0;0;0;0;0;2316;0;9213;0;0;0;0;0;3522;0;0;0;0;0;3189;45;199;0;6331;3497;1955;0;0;0;13811;1407;0;0;121955;"Viridiplantae";"Streptophyta";"Magnoliopsida";"Asterales";"Asteraceae";"Scorzoneroides"
"Circaea";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2593;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;315;9385;97640;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1094;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5816;0;0;0;0;0;0;0;0;0;0;0;0;0;0;126;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;116969;"Viridiplantae";"Streptophyta";"Magnoliopsida";"Myrtales";"Onagraceae";"Circaea"
"Melampyrum";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5113;0;0;2784;0;601;0;0;0;0;0;579;0;814;0;0;2590;0;864;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27301;20279;16916;0;0;0;0;0;0;0;0;0;8589;0;0;0;0;0;0;0;0;0;1581;0;0;0;0;0;0;0;0;0;0;178;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1149;0;0;89338;"Viridiplantae";"Streptophyta";"Magnoliopsida";"Lamiales";"Orobanchaceae";"Melampyrum"
"Myrica";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1534;74669;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;76203;"Viridiplantae";"Streptophyta";"Magnoliopsida";"Fagales";"Myricaceae";"Myrica"
"Juncus";0;0;0;0;0;0;0;991;0;0;90;0;373;0;0;68;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;266;0;801;0;0;0;26966;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;295;0;0;0;0;0;0;0;0;0;0;0;3253;0;0;0;1439;5251;383;0;0;0;0;123;0;0;0;0;0;0;0;0;0;164;0;665;0;0;0;2846;0;0;0;0;0;0;0;3685;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;318;0;0;0;10588;892;0;0;347;0;0;0;6287;0;6773;1381;0;0;0;0;0;0;0;0;1292;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;355;0;0;0;0;0;0;0;0;0;0;0;257;0;0;0;0;0;0;0;0;0;0;76149;"Viridiplantae";"Streptophyta";"Magnoliopsida";"Poales";"Juncaceae";"Juncus"
"Populus";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;39931;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;102;0;0;0;0;0;0;32759;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;324;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;438;0;0;0;0;0;0;0;0;624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;919;75097;"Viridiplantae";"Streptophyta";"Magnoliopsida";"Malpighiales";"Salicaceae";"Populus"
"Hypericum";1988;260;0;0;0;0;0;0;0;0;976;0;0;0;9418;163;4961;572;9358;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;78;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;268;0;600;823;0;0;0;0;0;0;0;0;0;0;0;0;30974;5420;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;170;0;0;0;0;0;0;256;0;0;0;2409;0;2295;0;0;0;0;0;0;0;0;0;0;0;0;0;218;0;0;513;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;603;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;72323;"Viridiplantae";"Streptophyta";"Magnoliopsida";"Malpighiales";"Hypericaceae";"Hypericum"
"Frangula";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18033;5533;8251;5456;0;0;0;0;0;473;0;1479;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1520;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9730;702;0;0;0;0;0;0;0;0;0;0;6138;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;166;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5635;0;2181;0;0;879;3461;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;69637;"Viridiplantae";"Streptophyta";"Magnoliopsida";"Rosales";"Rhamnaceae";"Frangula"
"Medicago";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1220;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;67763;0;0;486;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;69469;"Viridiplantae";"Streptophyta";"Magnoliopsida";"Fabales";"Fabaceae";"Medicago"
