"";"open";"forest";"galloway";"exmoor"
"245";"0";"0";"Rhabditida sp.22";"Strongylida sp.90"
"246";"0";"0";"Rhabditida sp.23";"Strongylida sp.92"
"247";"0";"0";"Rhabditidae sp.2";"Strongylida sp.93"
"248";"0";"0";"Rhabditidae sp.4";"Strongylida sp.95"
"249";"0";"0";"Rhabdomastix sp.1 (parva)";"Strongylida sp.96"
"250";"0";"0";"Rhingia sp.1 (campestris/nasica)";"Strongylida sp.97"
"251";"0";"0";"Saltella sp.1 (sphondylii)";"Strongylidae sp.1"
"252";"0";"0";"Saltella sphondylii";"Strongylidae sp.11"
"253";"0";"0";"Sargus sp.1 (decorus)";"Strongylidae sp.15"
"254";"0";"0";"Scathophaga stercoraria";"Strongylidae sp.16"
"255";"0";"0";"Scatopsciara sp.1 (nana)";"Strongylidae sp.17"
"256";"0";"0";"Scheloribates clavilanceolatus";"Strongylidae sp.18"
"257";"0";"0";"Scheloribates sp.1 (clavilanceolatus)";"Strongylidae sp.3"
"258";"0";"0";"Scheloribates sp.2 (initialis)";"Strongyloides sp.1 (mirzai)"
"259";"0";"0";"Schizaphis graminum";"Strongylus equinus"
"260";"0";"0";"Sepsis cynipsea";"Strongylus vulgaris"
"261";"0";"0";"Sepsis duplicata";"Strophosoma capitatum"
"262";"0";"0";"Sepsis fulgens";"Syndemis musculana"
"263";"0";"0";"Sepsis luteipes";"Synuchus vivalis"
"264";"0";"0";"Sepsis orthocnemis";"Tachinus marginellus"
"265";"0";"0";"Sepsis sp.1 (cynipsea/neocynipsea)";"Tachinus proximus"
"266";"0";"0";"Sepsis sp.10 (punctum/monostigma/orthocnemis)";"Tenuiphantes mengei"
"267";"0";"0";"Sepsis sp.4 (duplicata)";"Tephritis vespertina"
"268";"0";"0";"Sepsis sp.5 (flavimana/neocynipsea)";"Tischeria ekebladella"
"269";"0";"0";"Sepsis thoracica";"Trichoniscus pusillus"
"270";"0";"0";"Sminthurinus elegans";"Trichopsychoda hirtella"
"271";"0";"0";"Steinernema feltiae";"Triodontophorus serratus"
"272";"0";"0";"Steinernema silvaticum";"Triodontophorus sp.1 (brevicauda)"
"273";"0";"0";"Strongylida sp.14";"Triodontophorus sp.2 (nipponicus)"
"274";"0";"0";"Strongylida sp.15";"Trypocopris vernalis"
"275";"0";"0";"Strongylida sp.164";"Uroleucon sp.1 (cichorii/hypochoeridis)"
"276";"0";"0";"Strongylida sp.166";"Willemia anophthalma"
"277";"0";"0";"Strongylida sp.168";"Xenylla szeptyckii"
"278";"0";"0";"Strongylida sp.17";"Xestia xanthographa"
"279";"0";"0";"Strongylida sp.5";"0"
"280";"0";"0";"Succinea putris";"0"
"281";"0";"0";"Sylvicola sp.1 (stackelbergi)";"0"
"282";"0";"0";"Telomerina sp.1 (flavipes)";"0"
"283";"0";"0";"Thaumalea sp.1 (subafricana)";"0"
"284";"0";"0";"Thricops simplex";"0"
"285";"0";"0";"Thripidae sp.1";"0"
"286";"0";"0";"Thrips major";"0"
"287";"0";"0";"Thrips sp.1 (fuscipennis/sambuci)";"0"
"288";"0";"0";"Tipula luna";"0"
"289";"0";"0";"Torymus sp.1";"0"
"290";"0";"0";"Toxopterina vandergooti";"0"
"291";"0";"0";"Trichocera regelationis";"0"
"292";"0";"0";"Trichocera sp.1 (japonica)";"0"
"293";"0";"0";"Trichosirocalus sp.1 (troglodytes)";"0"
"294";"0";"0";"Trichosirocalus troglodytes";"0"
"295";"0";"0";"Trichostrongylus sp.1 (axei)";"0"
"296";"0";"0";"Uncinaria sp.1 (lyonsi)";"0"
"297";"0";"0";"Uropoda orbicularis";"0"
